Iteration,Best Distance,Average Distance,Iter Time (s),Cumulative Time (s)
0,17392.434893868172,21844.263199981895,0.007395029067993164,0.007397174835205078
1,16658.21553366972,21584.21659438686,0.0062334537506103516,0.014024496078491211
2,15544.923470360029,21353.515524352697,0.007220029830932617,0.021466493606567383
3,15425.600338913287,21190.29952080884,0.0072193145751953125,0.028978824615478516
4,14988.132658006807,20928.72452255852,0.006608247756958008,0.035956382751464844
5,14642.06884641986,20966.54200548432,0.00765681266784668,0.04382634162902832
6,14638.32345669579,21208.208119706313,0.0062541961669921875,0.05038046836853027
7,13868.297797553785,21167.21495570825,0.007283926010131836,0.05785632133483887
8,13683.614058612493,21444.7200924185,0.005941629409790039,0.06403422355651855
9,13519.617364864804,21388.001925706907,0.006777524948120117,0.07100462913513184
10,13227.405200227604,21498.177559251002,0.0076787471771240234,0.07890152931213379
11,12670.513407699564,21475.069424089746,0.00638127326965332,0.08559727668762207
12,12517.586737296511,21367.96524550008,0.00780797004699707,0.09366464614868164
13,12254.907601441573,21503.748791653677,0.006343841552734375,0.10023117065429688
14,11819.84397070497,21940.228837357423,0.00853109359741211,0.10923933982849121
15,11651.026770699527,21634.06685670783,0.00625920295715332,0.11599087715148926
16,11651.026770699527,21888.311932673394,0.007245063781738281,0.12355804443359375
17,11564.094375287814,21457.702759126994,0.009013652801513672,0.13292551040649414
18,11460.106069441706,21624.368704368393,0.007829666137695312,0.14102840423583984
19,11388.871452884001,21371.69748129502,0.007484912872314453,0.14873194694519043
20,11377.279284003444,21549.532498146928,0.007562398910522461,0.15663552284240723
21,11099.647128466824,21565.220579315377,0.008275985717773438,0.1652677059173584
22,11099.647128466824,21662.449550369387,0.0076677799224853516,0.17326879501342773
23,11099.647128466824,21913.582226611645,0.009347200393676758,0.18282413482666016
24,10712.499756333722,21628.78212612164,0.007897377014160156,0.1912696361541748
25,10621.84049460675,21832.27469512622,0.0070667266845703125,0.1988523006439209
26,10604.73959472088,22012.0393223842,0.006911277770996094,0.20609378814697266
27,10553.240693656364,21781.820823033402,0.007660627365112305,0.2141132354736328
28,10538.066916045855,21564.0851748379,0.007951974868774414,0.2222883701324463
29,10538.066916045855,21482.610514017688,0.008928060531616211,0.23142385482788086
30,10174.456943099525,21574.76345368736,0.008590221405029297,0.24022650718688965
31,10174.456943099525,21549.928131539207,0.008302450180053711,0.24888849258422852
32,10174.456943099525,21992.944250857625,0.007739067077636719,0.25686168670654297
33,10044.850571988372,21555.08245323969,0.008317947387695312,0.26547908782958984
34,10017.927918101428,21821.49785865393,0.008800983428955078,0.2745482921600342
35,9731.230917357325,22334.43107828714,0.0072727203369140625,0.2822093963623047
36,9293.638973173951,22304.402103630677,0.007765531539916992,0.29018378257751465
37,9227.701915242465,22244.286894384568,0.008107423782348633,0.298877477645874
38,9227.701915242465,21993.732972008493,0.009695053100585938,0.30896449089050293
39,9110.967045852367,22145.024618050345,0.008866310119628906,0.3182973861694336
40,9110.967045852367,22391.05631710715,0.0057277679443359375,0.3244590759277344
41,8744.301872006625,22560.497039599944,0.007200717926025391,0.3321518898010254
42,8744.301872006625,22429.032747211684,0.007315874099731445,0.3398904800415039
43,8720.221259154892,22689.30451949864,0.006692409515380859,0.3470172882080078
44,8655.853630144247,22056.86913145962,0.007673025131225586,0.3550598621368408
45,8655.853630144247,22123.78440838578,0.007053375244140625,0.3624246120452881
46,8604.194850749223,21593.182751781493,0.009584188461303711,0.3723013401031494
47,8598.507119814178,21833.77892118103,0.006680011749267578,0.3792612552642822
48,8598.507119814178,22110.149062818746,0.006011486053466797,0.3856344223022461
49,8512.736395391003,22150.59999041832,0.0069751739501953125,0.3929438591003418
50,8512.736395391003,22099.985772696095,0.006905794143676758,0.4001431465148926
51,8512.736395391003,21762.69061104674,0.007943153381347656,0.40840625762939453
52,8331.531591298251,21624.92343065272,0.008278846740722656,0.41693973541259766
53,8318.647840729629,22102.477735129745,0.006711244583129883,0.4239156246185303
54,8318.647840729629,22391.640221285896,0.006338357925415039,0.4307394027709961
55,8318.647840729629,22557.203573023413,0.007327079772949219,0.4383537769317627
56,8318.647840729629,22790.691346225874,0.0073125362396240234,0.44586682319641113
57,8318.647840729629,22021.60246247855,0.00864553451538086,0.4547092914581299
58,8208.948444058704,22147.154022935945,0.007920265197753906,0.4628427028656006
59,8196.120731746607,22218.625317297014,0.006319761276245117,0.46934962272644043
60,8196.120731746607,22589.229579969997,0.0060122013092041016,0.4755582809448242
61,8196.120731746607,22641.727959031825,0.006490468978881836,0.48238134384155273
62,8196.120731746607,22478.31195955918,0.008243083953857422,0.49085521697998047
63,8196.120731746607,23062.581731094175,0.005814552307128906,0.4970734119415283
64,8058.172879302623,22392.67549296912,0.008059501647949219,0.5054378509521484
65,8058.172879302623,22418.095433432194,0.006371021270751953,0.5122222900390625
66,8058.172879302623,22642.693965464874,0.007012844085693359,0.519498348236084
67,8058.172879302623,22501.737968167978,0.0065495967864990234,0.5263841152191162
68,8058.172879302623,22611.616811308693,0.005336284637451172,0.5319392681121826
69,8058.172879302623,22003.90771424312,0.007995367050170898,0.540153980255127
70,8058.172879302623,22694.65347784522,0.00567626953125,0.546034574508667
71,8058.172879302623,22103.554754375662,0.008681058883666992,0.5550518035888672
72,8047.957845754585,21927.14525548021,0.007386445999145508,0.5626988410949707
73,8047.957845754585,22223.23029102278,0.009506702423095703,0.5724806785583496
74,7910.033526299187,22371.019143628124,0.007624626159667969,0.5806522369384766
75,7603.349807706238,22163.936551736108,0.007873296737670898,0.5888562202453613
76,7603.349807706238,22126.817769350204,0.008201360702514648,0.5974392890930176
77,7603.349807706238,22052.282701989192,0.008662700653076172,0.6064541339874268
78,7521.864409832763,22193.978131951662,0.0070705413818359375,0.6138520240783691
79,7521.864409832763,22041.870011630388,0.006628751754760742,0.6207973957061768
80,7424.386987102109,21947.626332321426,0.008296728134155273,0.6293470859527588
81,7424.386987102109,22088.978730079372,0.006428718566894531,0.6361539363861084
82,7424.386987102109,22312.710251835786,0.008675098419189453,0.6450760364532471
83,7424.386987102109,22667.20538233681,0.006370067596435547,0.6520054340362549
84,7319.404112822215,22467.748070586684,0.007333517074584961,0.6596155166625977
85,7319.404112822215,22461.762341008107,0.007905006408691406,0.6679601669311523
86,7319.404112822215,22779.71883642022,0.005399942398071289,0.6735715866088867
87,7319.404112822215,22642.160643813466,0.006288766860961914,0.6801071166992188
88,7319.404112822215,22520.141187748843,0.006695747375488281,0.6870090961456299
89,7319.404112822215,22925.710446051817,0.007344245910644531,0.6946172714233398
90,7319.404112822215,22452.542425425527,0.0069255828857421875,0.701740026473999
91,7274.273809168638,22038.521395514574,0.010226964950561523,0.7122805118560791
92,7259.650571333379,22666.200616140024,0.00653839111328125,0.7194275856018066
93,7259.650571333379,22548.86634753452,0.0070743560791015625,0.727104663848877
94,7259.650571333379,22746.9288690536,0.006715297698974609,0.7343099117279053
95,7259.650571333379,22619.769942301693,0.006114006042480469,0.7407193183898926
96,7229.135917237352,22390.518920637318,0.008311986923217773,0.7495148181915283
97,7201.874825515005,22727.684952731954,0.0076351165771484375,0.757495641708374
98,7201.874825515005,22371.74506203247,0.0070037841796875,0.764925479888916
99,7201.874825515005,22273.792378366325,0.007001161575317383,0.7721984386444092
100,7201.874825515005,22270.83799689262,0.005697727203369141,0.7781486511230469
101,7201.874825515005,21850.10554060941,0.008803367614746094,0.7872910499572754
102,7201.874825515005,21936.863282652255,0.007957935333251953,0.7955021858215332
103,7201.874825515005,21931.28232733792,0.009583234786987305,0.8053410053253174
104,7201.874825515005,22302.227474048872,0.007122039794921875,0.8131356239318848
105,7201.874825515005,22305.55566598529,0.006266117095947266,0.8197033405303955
106,7129.50441106917,22286.457193742703,0.0065784454345703125,0.8264923095703125
107,7099.920790400319,21968.35989014998,0.008698701858520508,0.8354389667510986
108,7099.920790400319,21952.085205132957,0.009525775909423828,0.8452839851379395
109,7089.968774726123,22436.568050987567,0.006999492645263672,0.8524994850158691
110,7089.968774726123,22062.773970080554,0.008103370666503906,0.8607923984527588
111,7089.968774726123,22045.500544449842,0.007645130157470703,0.8689141273498535
112,7089.968774726123,22118.311772486428,0.009370565414428711,0.8784995079040527
113,7068.657697515392,21217.606075817297,0.008868217468261719,0.8880343437194824
114,7068.657697515392,21901.022333153807,0.004988431930541992,0.8934319019317627
115,7068.657697515392,21926.609041674532,0.006631612777709961,0.9004464149475098
116,7068.657697515392,21563.59829012819,0.008652448654174805,0.9092955589294434
117,7068.657697515392,20933.471244148383,0.010189056396484375,0.9198637008666992
118,7068.657697515392,21953.103815735496,0.006281375885009766,0.9263930320739746
119,6918.834805873773,21476.3101957927,0.007697582244873047,0.9343161582946777
120,6918.834805873773,22035.43609523888,0.005798816680908203,0.9403166770935059
121,6918.834805873773,21571.49631594808,0.008554935455322266,0.9493629932403564
122,6918.834805873773,21786.986790062223,0.009764671325683594,0.9593486785888672
123,6918.834805873773,22094.492042454258,0.005727052688598633,0.9656615257263184
124,6918.834805873773,22220.249846872473,0.006361484527587891,0.9722342491149902
125,6918.834805873773,22397.035473153413,0.007340192794799805,0.9798390865325928
126,6918.834805873773,22357.60917540708,0.008211851119995117,0.9882533550262451
127,6918.834805873773,22498.856401400706,0.008239030838012695,0.9967341423034668
128,6918.834805873773,22390.23077635518,0.007044315338134766,1.003983736038208
129,6918.834805873773,22296.902617393283,0.007946968078613281,1.0121679306030273
130,6918.834805873773,22260.605077873017,0.008366823196411133,1.0207319259643555
131,6918.834805873773,22579.398367490172,0.007294416427612305,1.0284597873687744
132,6918.834805873773,22688.5360699541,0.0077745914459228516,1.0366005897521973
133,6918.834805873773,22070.758962008214,0.009094953536987305,1.0462796688079834
134,6918.834805873773,22156.97818734489,0.009290456771850586,1.0559642314910889
135,6918.834805873773,22487.26717312069,0.0053768157958984375,1.061556100845337
136,6918.834805873773,22489.44241662977,0.0060214996337890625,1.0678086280822754
137,6918.834805873773,22773.680962882634,0.006302356719970703,1.0743083953857422
138,6918.834805873773,22366.542248415575,0.008238554000854492,1.0827336311340332
139,6918.834805873773,22262.945290351476,0.008087873458862305,1.0910673141479492
140,6918.834805873773,22284.376588189396,0.006967782974243164,1.0983595848083496
141,6918.834805873773,22550.896558357974,0.007108211517333984,1.1058099269866943
142,6918.834805873773,22593.782023398533,0.007306575775146484,1.1136364936828613
143,6918.834805873773,22508.595239960425,0.007658243179321289,1.121532678604126
144,6918.834805873773,22448.59812187204,0.008006095886230469,1.1298401355743408
145,6918.834805873773,22367.693452524403,0.0076503753662109375,1.1379766464233398
146,6918.834805873773,22428.824413400725,0.00701451301574707,1.145552158355713
147,6918.834805873773,22339.69417703168,0.007717132568359375,1.1537816524505615
148,6918.834805873773,22634.675172698004,0.0063860416412353516,1.1605122089385986
149,6918.834805873773,22265.178493934545,0.007601737976074219,1.1684849262237549
150,6918.834805873773,22071.1626938099,0.009294748306274414,1.178088903427124
151,6918.834805873773,22152.71545049051,0.00832056999206543,1.187088966369629
152,6918.834805873773,22119.148374427154,0.00740361213684082,1.1951439380645752
153,6918.834805873773,22130.59513843597,0.007493257522583008,1.2029712200164795
154,6918.834805873773,22140.017357102795,0.007985830307006836,1.2113468647003174
155,6918.834805873773,22466.684957946083,0.007411003112792969,1.2191133499145508
156,6918.834805873773,22330.58502225096,0.007856369018554688,1.2272989749908447
157,6918.834805873773,22556.61980944647,0.007431983947753906,1.235076665878296
158,6918.834805873773,22053.194969402957,0.008620738983154297,1.244018793106079
159,6918.834805873773,22265.05620663046,0.007565975189208984,1.251894474029541
160,6918.834805873773,22646.59683974476,0.004717826843261719,1.257014274597168
161,6918.834805873773,22491.37324042176,0.00839090347290039,1.265958309173584
162,6881.469197511931,22437.835010625826,0.00599217414855957,1.2723135948181152
