Iteration,Best Distance,Average Distance
0,5878.685021451426,6409.525058723984
1,5876.335781706568,6391.415519269232
2,5738.804585152171,6426.776660895303
3,5738.804585152171,6407.632610999104
4,5738.804585152171,6388.775426928479
5,5738.804585152171,6339.80722669501
6,5738.804585152171,6327.563061296454
7,5738.804585152171,6319.370700057564
8,5738.804585152171,6383.276099627625
9,5738.804585152171,6373.276482239671
10,5738.804585152171,6356.211674380533
11,5738.804585152171,6353.679682749794
12,5738.804585152171,6323.669127980366
13,5738.804585152171,6338.378387454574
14,5738.804585152171,6336.125328794145
15,5738.804585152171,6344.690249607779
16,5738.804585152171,6308.666462314299
17,5738.804585152171,6342.609470855508
18,5738.804585152171,6244.806594262225
19,5708.670530357136,6302.101283047192
20,5695.671039495817,6300.332125834607
21,5695.671039495817,6319.133520947543
22,5695.671039495817,6278.78358223589
23,5695.671039495817,6263.457919597317
24,5695.671039495817,6255.65796275126
25,5695.671039495817,6326.185114662253
26,5695.671039495817,6289.030525955468
27,5650.6117162553155,6240.21444241976
28,5650.6117162553155,6327.186743186367
