Iteration,Best Distance,Average Distance
0,21312.02631330722,26289.753647344853
1,21312.02631330722,26202.624037184687
2,21312.02631330722,26352.504926073467
3,21312.02631330722,26348.583928230484
4,21312.02631330722,26140.348362702527
5,21312.02631330722,26316.817313780975
6,21312.02631330722,25935.63893055695
7,21312.02631330722,26130.48119206918
8,21312.02631330722,26002.967842435213
9,21312.02631330722,25731.732369752663
10,21312.02631330722,25818.305983724185
11,21040.944087776083,25831.396851254005
12,21040.944087776083,25747.261400951582
13,21040.944087776083,25716.07941232451
14,21040.944087776083,25639.451480098007
15,21040.944087776083,25410.479052742237
16,20918.017824148516,25288.9548912857
17,20918.017824148516,25457.459496465974
18,20918.017824148516,25509.55445591266
19,20918.017824148516,25331.571361036167
20,20918.017824148516,25205.79440761111
21,20918.017824148516,25084.711179370996
22,20918.017824148516,25043.790577788892
23,20918.017824148516,25408.892065459862
24,20918.017824148516,25040.925387188774
25,20918.017824148516,24944.049046401935
26,20859.001941096903,24971.29805003392
27,20859.001941096903,25112.18527074972
28,20859.001941096903,24974.77935238858
29,20859.001941096903,24953.02100549285
30,20562.415925274938,24656.929562048383
31,20562.415925274938,24848.452962573254
32,20562.415925274938,24728.54554300351
33,20562.415925274938,24631.588257042273
34,20562.415925274938,24676.90272307359
35,20562.415925274938,24667.80536482723
36,20562.415925274938,24533.79633969179
37,20562.415925274938,24652.771033074532
38,20562.415925274938,24887.434870226614
39,20562.415925274938,24560.670456383028
40,20562.415925274938,24740.76820407838
41,20562.415925274938,24779.771196800695
42,20562.415925274938,24600.610872209407
43,20519.91982731284,24705.547229783788
44,20519.91982731284,24790.73708456893
45,20519.91982731284,24737.360661582035
46,20519.91982731284,24943.928558009604
47,20519.91982731284,24735.485472714867
48,20519.91982731284,24591.67443085569
49,20519.91982731284,24903.750034788685
50,20519.91982731284,24417.071376278585
51,20519.91982731284,24601.111216712703
52,20519.91982731284,24576.49729163346
53,20519.91982731284,24567.934520591705
54,20519.91982731284,24621.522451012177
55,20519.91982731284,24639.624791979957
56,20519.91982731284,24484.065064459286
57,20519.91982731284,24486.33257195797
58,20519.91982731284,24476.876837451207
59,20519.91982731284,24442.538230144382
60,20387.69332281065,24489.957654047354
61,19641.823334089167,24444.386635387706
62,19603.864642106208,24503.176508072163
63,19603.864642106208,24465.55141345706
64,19371.675059086345,24220.931688378954
65,19371.675059086345,24193.01860141124
66,19371.675059086345,24237.88034588959
67,19371.675059086345,24035.945268154534
68,19371.675059086345,24097.107774026095
69,19371.675059086345,24014.31779816216
70,19371.675059086345,24152.209627618497
71,19371.675059086345,24144.11569134943
72,19371.675059086345,24190.296025688283
73,19371.675059086345,24512.324909262417
74,19371.675059086345,24384.197498805002
75,19371.675059086345,24379.281337572866
76,19371.675059086345,24416.357105078783
77,19353.621444539916,24297.162994098202
78,19353.621444539916,24108.492861521398
79,19166.892990300817,24293.079225943566
80,19166.892990300817,24029.04404869736
81,19166.892990300817,24070.255695169923
82,19166.892990300817,24030.20553352025
83,19053.141936127908,23876.599356403567
84,19053.141936127908,24190.105822458845
85,19053.141936127908,24275.99102104847
86,18421.821739676536,24069.906355738345
87,18421.821739676536,24175.58769610257
88,18421.821739676536,24168.57048650072
89,18421.821739676536,24163.510178929915
90,18421.821739676536,24232.136191700167
91,18421.821739676536,24174.65372315639
92,18421.821739676536,24567.279113048487
93,18421.821739676536,24629.978209788453
94,18421.821739676536,24675.256801208423
95,18421.821739676536,24495.26362344304
96,18421.821739676536,24941.139283302913
97,18421.821739676536,24788.56645521698
98,18421.821739676536,24829.088582399065
99,18421.821739676536,24724.541447300246
100,18421.821739676536,24741.782392529087
101,18034.279651434026,24478.63243340354
102,18034.279651434026,24654.874713985468
103,18034.279651434026,24375.75545750905
104,18034.279651434026,24873.501556898373
105,18034.279651434026,24338.319992834156
106,18034.279651434026,24759.48887191567
107,18034.279651434026,24669.29802831522
108,18034.279651434026,24687.88151496638
109,18034.279651434026,24731.565360623885
110,18034.279651434026,24400.529616538515
111,18034.279651434026,24656.76238773493
112,18034.279651434026,24176.613302362894
113,18034.279651434026,24450.771851311776
114,18034.279651434026,24201.023477366816
115,18034.279651434026,24351.581156617827
116,18034.279651434026,24071.519062898977
117,18034.279651434026,24314.375437383376
118,18034.279651434026,24093.206948055762
119,18034.279651434026,24068.18867413495
120,18034.279651434026,24029.018571415927
121,18034.279651434026,24163.571385511234
122,18034.279651434026,24033.6491929519
123,18034.279651434026,24223.384321026835
124,18034.279651434026,23889.75418943284
125,18034.279651434026,23793.353781020232
126,18034.279651434026,23760.42697226399
127,18034.279651434026,23663.76479299931
128,18034.279651434026,23854.333210061373
129,18034.279651434026,23708.14098847989
130,18034.279651434026,23674.83404832589
131,18034.279651434026,23796.188243208388
132,18034.279651434026,23765.349511097054
133,18034.279651434026,23769.081026183012
134,17941.964037910544,23428.426576850805
135,17555.449992333615,23814.264577361515
136,17555.449992333615,23710.40759218405
137,17555.449992333615,23720.972062306482
138,17555.449992333615,23766.3964009623
139,17555.449992333615,23737.64764067084
140,17555.449992333615,23548.54512757455
141,17141.247447141744,23697.398247841
142,17141.247447141744,23436.919515265552
143,17141.247447141744,23719.970983875723
144,17141.247447141744,23501.151404351207
145,17141.247447141744,23387.479139755593
146,17141.247447141744,23329.336649317753
147,17141.247447141744,23387.7466635809
148,17141.247447141744,23223.49056515795
149,17141.247447141744,23454.319348975958
150,17141.247447141744,23685.397416917524
151,17141.247447141744,23390.280920905738
152,17141.247447141744,23602.26983939888
153,17141.247447141744,23718.463835454015
154,17141.247447141744,23525.4643619591
155,17141.247447141744,23405.998161091284
156,17141.247447141744,23699.97217951157
157,17141.247447141744,23494.171649597873
158,17141.247447141744,23392.27076202531
159,17141.247447141744,23327.73497213097
160,17141.247447141744,23401.426770444177
161,17141.247447141744,23217.160374811214
162,17141.247447141744,23149.808064870438
163,17141.247447141744,23035.14148048483
164,17141.247447141744,23009.86589344132
165,17141.247447141744,22863.671397325103
166,17141.247447141744,22756.63956796256
167,17141.247447141744,22749.68847869978
168,17141.247447141744,22639.721898914384
169,17141.247447141744,22738.000954894265
170,17141.247447141744,22583.78152412868
171,17141.247447141744,22484.257508996863
172,17141.247447141744,22382.8260698322
173,17141.247447141744,22336.64991393037
174,17141.247447141744,22507.68964330802
175,17141.247447141744,22473.092279592332
176,17141.247447141744,22454.010777795997
177,17141.247447141744,22175.93168367057
178,16239.338383579365,21958.826849545014
179,16239.338383579365,22113.3666061808
180,16072.758742969558,22136.39350007682
181,16072.758742969558,21879.471817395613
182,16072.758742969558,21901.546237110815
183,16072.758742969558,21719.375228445373
184,16072.758742969558,21644.591941299317
185,16072.758742969558,21944.715015436934
186,16072.758742969558,21587.8970160938
187,16072.758742969558,21626.675312964482
188,16072.758742969558,21643.645357632467
189,16072.758742969558,21210.61252404356
190,16072.758742969558,21393.555174114375
191,16072.758742969558,21437.11849618593
192,16072.758742969558,21483.474719853435
193,16020.227017190571,21385.5065314059
194,16020.227017190571,21338.053770347786
195,16020.227017190571,21414.490428262892
196,16020.227017190571,21310.720276287455
197,16020.227017190571,21411.590719221167
198,16020.227017190571,21073.892379115798
199,16020.227017190571,21090.544627143125
200,16020.227017190571,21069.305692293037
201,15914.01429877074,21017.29519802186
202,14895.419691641086,20866.238431305548
203,14895.419691641086,20804.20737803212
204,14895.419691641086,21065.85404935175
205,14895.419691641086,20847.724965185203
206,14895.419691641086,20808.18481835996
207,14895.419691641086,20536.26929533593
208,14895.419691641086,20709.508359882235
209,14895.419691641086,20564.514061734844
210,14831.86335168585,20396.84326655417
211,14831.86335168585,20387.860791925617
212,14831.86335168585,20195.291834941036
213,14831.86335168585,20093.621633514478
214,14831.86335168585,20167.28936882824
215,14831.86335168585,20077.83326109648
216,14831.86335168585,20186.648662849653
217,14831.86335168585,19968.69719124063
218,14831.86335168585,20015.464899767525
