Iteration,Best Distance,Average Distance
0,21434.306186510596,26472.975325272753
1,21434.306186510596,26471.563535387966
2,21434.306186510596,26094.06764594332
3,21434.306186510596,26158.358453727196
4,21434.306186510596,25977.710040482976
5,21434.306186510596,25962.502448642823
6,20838.47367013945,25878.638442981344
7,20679.006040935048,25868.77004053988
8,20679.006040935048,25568.739232169326
9,20679.006040935048,25542.961284236473
10,20679.006040935048,25744.211073130464
11,20621.743971283555,25066.78880538863
12,20621.743971283555,25889.883161396036
13,20621.743971283555,25779.34889068352
14,20621.743971283555,25522.987322151926
15,20621.743971283555,25434.88985864427
16,20621.743971283555,25236.300272790668
17,20621.743971283555,25342.101845438887
18,20621.743971283555,25198.219109875354
19,20621.743971283555,25260.20161130066
20,20621.743971283555,25378.156732563595
21,20621.743971283555,25378.401769383483
22,20621.743971283555,25231.069248447562
23,20207.888904941137,25146.015604796317
24,19890.42379761079,25005.293756109113
25,19890.42379761079,24868.697448495295
26,19890.42379761079,24755.818895253273
27,19890.42379761079,24586.68261118904
28,19663.35827890197,24645.55199192639
29,19559.294589689693,24587.639157360754
30,19559.294589689693,24535.154130037405
31,19559.294589689693,24416.536169736784
32,19559.294589689693,24340.214311900432
33,19407.01413198106,24165.77900124208
34,19407.01413198106,24412.587837593695
35,19407.01413198106,24202.91048678115
36,19237.464165320132,24273.44418188748
37,19237.464165320132,24325.056364597636
38,19107.67322372944,24101.25225675987
39,19107.67322372944,24472.725116131067
40,19107.67322372944,23872.783944650797
41,18919.156927151293,23869.300301211333
42,18919.156927151293,24501.31667500705
43,18919.156927151293,24048.21494974755
44,18919.156927151293,24417.95922259778
45,18919.156927151293,23611.407966410592
46,18919.156927151293,24101.22079320542
47,18919.156927151293,24138.007820770887
48,18859.808194782298,24089.845557200777
49,18859.808194782298,23814.948629426566
50,18669.826152186095,23805.249289029533
51,18669.826152186095,23956.21656987361
52,18253.373973140355,23870.621643245788
53,18253.373973140355,24037.00205466649
54,18253.373973140355,23806.556647131332
55,18253.373973140355,23670.78482466624
56,18253.373973140355,23553.976281215564
57,18253.373973140355,23528.65397189306
58,18253.373973140355,23409.318874425717
59,18253.373973140355,23240.36932614221
60,17829.925657984408,23141.826081476087
61,17829.925657984408,23329.06222981002
62,17829.925657984408,23314.01846691437
63,17829.925657984408,23015.31965308109
64,17752.27875222226,23008.35294211529
65,17344.3149239203,22900.583431848347
66,17344.3149239203,23118.94119812839
67,17344.3149239203,23031.590495890476
68,17045.429280195633,22758.757397167265
69,17045.429280195633,22457.81975891832
70,16737.791316117637,22520.85917030794
71,16568.099266813664,22744.773624527348
72,16568.099266813664,22846.946811994152
73,16568.099266813664,22325.51600333552
74,16568.099266813664,22225.046156753506
75,16568.099266813664,22204.13855820244
76,16568.099266813664,22270.558272887723
77,16568.099266813664,22210.705385760102
78,16568.099266813664,22054.891489735222
79,16568.099266813664,21999.1976206452
80,16568.099266813664,21817.10401130184
81,16568.099266813664,21719.5293374716
82,16053.253475457577,21775.725666921273
83,16053.253475457577,21702.943810657234
84,16053.253475457577,21513.62612997517
85,16053.253475457577,21318.002208820162
86,16053.253475457577,21282.040631429536
87,16043.271540318194,21119.1841223421
88,15762.193673972244,21092.470295694227
89,15508.969421971025,20943.41398878413
90,15508.969421971025,20959.39934774012
91,15508.969421971025,21118.18454657875
92,15508.969421971025,20629.124312316246
93,15508.969421971025,20530.17723921445
94,15048.089548780472,20780.54540462967
95,15048.089548780472,20582.92697334521
96,15048.089548780472,20424.22730447622
97,15036.589729725134,20150.102505246672
98,14940.291362258926,20294.560195887298
99,14940.291362258926,20197.345386664852
100,14940.291362258926,19915.0907377662
101,14940.291362258926,19866.08078183194
102,14940.291362258926,19672.644359983526
103,14940.291362258926,19789.803480406303
104,14940.291362258926,19624.702195459857
105,14940.291362258926,19775.48810223039
106,14940.291362258926,19542.81132128454
107,14940.291362258926,19328.998139306157
108,14940.291362258926,19262.200094597934
109,14940.291362258926,19312.56774206399
110,14901.157626193459,19100.817522500674
111,14901.157626193459,19078.804194374723
112,14901.157626193459,18885.57885401965
113,14713.742390702299,18733.685113588504
114,14713.742390702299,18802.57597936243
115,14713.742390702299,18642.62388675988
116,14713.742390702299,18667.88854318367
117,14713.742390702299,18646.38465967203
118,14713.742390702299,18598.096712140443
119,14713.742390702299,18413.00743875488
120,14448.624805809566,18400.231564966125
121,14448.624805809566,18982.30879113549
122,14448.624805809566,18624.161483684693
123,14448.624805809566,18538.16479755827
124,14448.624805809566,18230.79371329874
125,14360.554971106245,18411.60434985867
126,14360.554971106245,18382.6686003774
127,14360.554971106245,18217.964501483428
128,14360.554971106245,18150.06091396708
129,14360.554971106245,18247.41578199498
130,14360.554971106245,18207.510486097362
131,14360.554971106245,17908.226860982624
132,14360.554971106245,17969.56572666658
133,14360.554971106245,17784.876857046682
134,14360.554971106245,17703.049289185237
135,14343.993490391971,17692.702799578175
136,14311.911188218948,18052.15687104519
137,14311.911188218948,17872.012028131565
138,14273.530804183805,17562.388936925636
139,14273.530804183805,18348.353879384427
140,14273.530804183805,18320.007438883273
141,14273.530804183805,17741.412181411917
142,14273.530804183805,17777.949726584586
143,14173.306743759043,17943.10135470346
144,14173.306743759043,17759.36165242122
145,14173.239535601066,17606.78916935091
146,14144.174286654486,17370.188647479674
147,14144.174286654486,17604.339612034484
148,14112.656932070135,17548.50935789575
149,14112.656932070135,17353.417739194523
150,14112.656932070135,17082.14452452339
151,14010.131125755735,17135.657328607267
152,14010.131125755735,17090.99052710017
153,14010.131125755735,17290.813240912223
154,14010.131125755735,17334.49595986064
155,13965.209003082176,17050.12998054916
156,13965.209003082176,17020.531569134142
157,13965.209003082176,16964.964467435384
158,13965.209003082176,16998.988695296084
159,13965.209003082176,16862.47093650389
160,13965.209003082176,16688.324474560966
161,13965.209003082176,16883.939745140004
162,13965.209003082176,16652.049670478737
163,13904.001300798962,16623.172179495406
164,13904.001300798962,16642.269504955537
165,13904.001300798962,16700.628553323724
166,13904.001300798962,16336.686334932325
167,13904.001300798962,16278.65006870652
168,13904.001300798962,16145.89813521812
169,13904.001300798962,16337.619463846619
