Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
0,27012.191968359184,27039.440837037044,4.172325134277344e-05,4.410743713378906e-05
1,26974.838190484024,26974.838190484024,3.528594970703125e-05,0.0004527568817138672
2,26974.838190484024,26974.838190484024,2.9325485229492188e-05,0.0007824897766113281
3,26736.015871888467,26736.015871888467,2.7179718017578125e-05,0.001050710678100586
4,26736.015871888467,26767.534916283006,2.9802322387695312e-05,0.0014171600341796875
5,26371.802845809405,26371.802845809405,2.765655517578125e-05,0.0016779899597167969
6,26003.720732601636,26003.720732601636,2.5272369384765625e-05,0.001940011978149414
7,26003.720732601636,26003.720732601636,2.5510787963867188e-05,0.0022079944610595703
8,26003.720732601636,26695.66036677702,2.5272369384765625e-05,0.0024504661560058594
9,26003.720732601636,26425.565671121018,2.0265579223632812e-05,0.002653837203979492
10,26003.720732601636,26820.896167026134,2.0503997802734375e-05,0.002850770950317383
11,26003.720732601636,26875.52085348142,2.09808349609375e-05,0.0030837059020996094
12,26003.720732601636,26917.969024219325,2.4557113647460938e-05,0.003288745880126953
13,26003.720732601636,26917.969024219325,2.0503997802734375e-05,0.0034890174865722656
14,26003.720732601636,27305.05353342113,2.0265579223632812e-05,0.003682851791381836
15,26003.720732601636,27365.669036451345,2.002716064453125e-05,0.0038788318634033203
16,26003.720732601636,27571.28808180237,2.0503997802734375e-05,0.004082441329956055
17,26003.720732601636,28111.78591016102,2.0503997802734375e-05,0.004277944564819336
18,26003.720732601636,27592.136465656036,1.9311904907226562e-05,0.004470348358154297
19,26003.720732601636,27647.891340254013,1.9788742065429688e-05,0.004663228988647461
20,26003.720732601636,27329.22757441923,1.9073486328125e-05,0.004856586456298828
21,26003.720732601636,27329.22757441923,1.9788742065429688e-05,0.005047798156738281
22,26003.720732601636,27520.514984488844,2.0742416381835938e-05,0.0052525997161865234
23,26003.720732601636,27674.56498567784,2.0742416381835938e-05,0.005463361740112305
24,26003.720732601636,27495.453867384767,2.002716064453125e-05,0.005661487579345703
25,26003.720732601636,28083.068744928954,2.002716064453125e-05,0.005855560302734375
26,26003.720732601636,27755.10531055866,2.002716064453125e-05,0.00605320930480957
27,26003.720732601636,28176.519186880512,2.002716064453125e-05,0.006244659423828125
28,26003.720732601636,28027.637088297328,2.002716064453125e-05,0.006437063217163086
29,26003.720732601636,27316.554997527484,1.9550323486328125e-05,0.006628513336181641
30,26003.720732601636,27119.53261535491,1.9788742065429688e-05,0.006817817687988281
31,26003.720732601636,26222.17702994863,1.9788742065429688e-05,0.0070078372955322266
32,26003.720732601636,26222.17702994863,1.9788742065429688e-05,0.007200002670288086
33,26003.720732601636,27268.090998754327,2.0503997802734375e-05,0.007393836975097656
34,26003.720732601636,27268.090998754327,2.002716064453125e-05,0.0075931549072265625
35,26003.720732601636,27092.044762206693,1.9550323486328125e-05,0.007782936096191406
36,26003.720732601636,27476.19068653752,1.9788742065429688e-05,0.007979154586791992
37,26003.720732601636,27436.997852399763,1.9788742065429688e-05,0.008178949356079102
38,26003.720732601636,27136.791034239766,1.9788742065429688e-05,0.008371114730834961
